district,year,season,crop,yield_t_ha,area_ha,production_tonnes,rainfall_mm,temp_avg_c,soil_N,soil_P,soil_K,soil_pH,ndvi,fertilizer_kg_ha
Ariyalur,2003,Kharif,Rice,4.147,34071.0,141278.0,932.4,28.77,200.3,16.6,177.1,6.8,0.5795,178.3
Ariyalur,2003,Rabi,Rice,3.986,39793.0,158600.0,932.4,28.77,200.3,16.6,177.1,6.8,0.4803,178.3
Ariyalur,2004,Kharif,Rice,3.616,40899.0,147906.0,965.5,30.44,262.3,16.1,164.2,7.11,0.5839,137.8
Ariyalur,2004,Rabi,Rice,3.814,23938.0,91297.0,965.5,30.44,262.3,16.1,164.2,7.11,0.4685,137.8
Ariyalur,2005,Kharif,Rice,4.09,23798.0,97340.0,929.6,28.98,240.7,22.8,213.6,7.35,0.5766,185.7
Ariyalur,2005,Rabi,Rice,3.856,34314.0,132310.0,929.6,28.98,240.7,22.8,213.6,7.35,0.4755,185.7
Ariyalur,2006,Kharif,Rice,3.909,38237.0,149453.0,629.2,29.55,271.6,17.2,170.4,6.81,0.5568,199.9
Ariyalur,2006,Rabi,Rice,3.691,36104.0,133275.0,629.2,29.55,271.6,17.2,170.4,6.81,0.4742,199.9
Ariyalur,2007,Kharif,Rice,4.17,38374.0,160005.0,880.2,28.93,258.6,16.3,197.8,7.15,0.4816,170.4
Ariyalur,2007,Rabi,Rice,3.803,36834.0,140081.0,880.2,28.93,258.6,16.3,197.8,7.15,0.5652,170.4
Ariyalur,2008,Kharif,Rice,3.716,36418.0,135337.0,1227.5,29.49,250.4,23.7,217.8,7.08,0.4482,181.0
Ariyalur,2008,Rabi,Rice,4.217,25919.0,109310.0,1227.5,29.49,250.4,23.7,217.8,7.08,0.5154,181.0
Ariyalur,2009,Kharif,Rice,3.67,23947.0,87898.0,862.6,29.21,204.2,24.3,218.2,7.02,0.498,170.5
Ariyalur,2009,Rabi,Rice,4.123,27995.0,115422.0,862.6,29.21,204.2,24.3,218.2,7.02,0.4905,170.5
Ariyalur,2010,Kharif,Rice,3.687,34482.0,127124.0,1137.3,29.52,249.3,22.8,176.7,7.49,0.6212,191.1
Ariyalur,2010,Rabi,Rice,4.144,30272.0,125445.0,1137.3,29.52,249.3,22.8,176.7,7.49,0.4799,191.1
Ariyalur,2011,Kharif,Rice,3.955,33898.0,134082.0,807.0,29.96,204.1,14.9,199.9,7.33,0.5182,164.4
Ariyalur,2011,Rabi,Rice,3.614,32956.0,119109.0,807.0,29.96,204.1,14.9,199.9,7.33,0.5578,164.4
Ariyalur,2012,Kharif,Rice,3.979,35204.0,140071.0,973.9,29.19,224.5,15.3,214.0,7.19,0.5026,193.4
Ariyalur,2012,Rabi,Rice,4.014,25548.0,102544.0,973.9,29.19,224.5,15.3,214.0,7.19,0.5391,193.4
Ariyalur,2013,Kharif,Rice,3.746,35203.0,131866.0,1075.3,29.74,196.5,16.0,170.7,7.37,0.4943,170.9
Ariyalur,2013,Rabi,Rice,3.807,40910.0,155737.0,1075.3,29.74,196.5,16.0,170.7,7.37,0.5584,170.9
Ariyalur,2014,Kharif,Rice,3.918,28678.0,112372.0,763.0,29.25,258.4,16.8,202.1,7.42,0.5159,180.1
Ariyalur,2014,Rabi,Rice,3.765,31705.0,119382.0,763.0,29.25,258.4,16.8,202.1,7.42,0.4959,180.1
Ariyalur,2015,Kharif,Rice,3.964,38132.0,151167.0,814.8,29.37,258.7,20.0,184.4,7.47,0.4851,172.3
Ariyalur,2015,Rabi,Rice,4.304,33097.0,142448.0,814.8,29.37,258.7,20.0,184.4,7.47,0.5264,172.3
Ariyalur,2016,Kharif,Rice,4.036,28137.0,113558.0,960.2,29.12,267.6,14.7,156.4,7.53,0.4978,192.0
Ariyalur,2016,Rabi,Rice,3.897,26576.0,103554.0,960.2,29.12,267.6,14.7,156.4,7.53,0.4352,192.0
Ariyalur,2017,Kharif,Rice,4.06,33988.0,137981.0,1101.9,30.15,195.1,24.0,214.0,7.3,0.4688,205.6
Ariyalur,2017,Rabi,Rice,3.97,26148.0,103803.0,1101.9,30.15,195.1,24.0,214.0,7.3,0.4998,205.6
Ariyalur,2018,Kharif,Rice,4.031,25801.0,104014.0,949.1,29.65,231.2,25.4,217.9,6.82,0.5776,178.1
Ariyalur,2018,Rabi,Rice,3.821,28235.0,107899.0,949.1,29.65,231.2,25.4,217.9,6.82,0.4495,178.1
Ariyalur,2019,Kharif,Rice,4.151,29477.0,122359.0,826.9,29.51,206.7,18.9,181.3,7.48,0.5113,217.4
Ariyalur,2019,Rabi,Rice,3.978,26709.0,106253.0,826.9,29.51,206.7,18.9,181.3,7.48,0.4214,217.4
Ariyalur,2020,Kharif,Rice,3.557,29706.0,105651.0,1168.0,29.61,204.6,16.3,181.8,7.09,0.5423,185.7
Ariyalur,2020,Rabi,Rice,3.723,27158.0,101099.0,1168.0,29.61,204.6,16.3,181.8,7.09,0.5338,185.7
Ariyalur,2021,Kharif,Rice,3.901,30614.0,119410.0,957.4,28.99,224.5,15.1,201.5,7.42,0.5059,202.5
Ariyalur,2021,Rabi,Rice,3.908,38035.0,148631.0,957.4,28.99,224.5,15.1,201.5,7.42,0.515,202.5
Ariyalur,2022,Kharif,Rice,3.976,22951.0,91252.0,1034.8,29.22,255.3,21.2,183.1,7.43,0.528,173.5
Ariyalur,2022,Rabi,Rice,3.896,30833.0,120119.0,1034.8,29.22,255.3,21.2,183.1,7.43,0.43,173.5
Ariyalur,2023,Kharif,Rice,3.787,38550.0,146008.0,679.0,29.35,239.3,20.7,202.6,6.95,0.5467,215.8
Ariyalur,2023,Rabi,Rice,3.823,22563.0,86256.0,679.0,29.35,239.3,20.7,202.6,6.95,0.4965,215.8
Ariyalur,2003,Kharif,Sugarcane,94.942,9162.0,869811.0,932.4,28.77,200.3,16.6,177.1,6.8,0.5795,178.3
Ariyalur,2004,Kharif,Sugarcane,97.333,6796.0,661486.0,965.5,30.44,262.3,16.1,164.2,7.11,0.5839,137.8
Ariyalur,2005,Kharif,Sugarcane,98.28,6175.0,606845.0,929.6,28.98,240.7,22.8,213.6,7.35,0.5766,185.7
Ariyalur,2006,Kharif,Sugarcane,97.909,6189.0,605970.0,629.2,29.55,271.6,17.2,170.4,6.81,0.5568,199.9
Ariyalur,2007,Kharif,Sugarcane,102.931,8007.0,824119.0,880.2,28.93,258.6,16.3,197.8,7.15,0.4816,170.4
Ariyalur,2008,Kharif,Sugarcane,98.972,8380.0,829346.0,1227.5,29.49,250.4,23.7,217.8,7.08,0.4482,181.0
