district,year,fertilizer_kg_ha
Ariyalur,2003,178.3
Ariyalur,2004,137.8
Ariyalur,2005,185.7
Ariyalur,2006,199.9
Ariyalur,2007,170.4
Ariyalur,2008,181.0
Ariyalur,2009,170.5
Ariyalur,2010,191.1
Ariyalur,2011,164.4
Ariyalur,2012,193.4
Ariyalur,2013,170.9
Ariyalur,2014,180.1
Ariyalur,2015,172.3
Ariyalur,2016,192.0
Ariyalur,2017,205.6
Ariyalur,2018,178.1
Ariyalur,2019,217.4
Ariyalur,2020,185.7
Ariyalur,2021,202.5
Ariyalur,2022,173.5
Ariyalur,2023,215.8
Chengalpattu,2003,157.7
Chengalpattu,2004,136.0
Chengalpattu,2005,147.7
Chengalpattu,2006,125.2
Chengalpattu,2007,180.3
Chengalpattu,2008,161.5
Chengalpattu,2009,173.6
Chengalpattu,2010,177.9
Chengalpattu,2011,192.3
Chengalpattu,2012,169.6
Chengalpattu,2013,180.9
Chengalpattu,2014,183.5
Chengalpattu,2015,188.4
Chengalpattu,2016,189.7
Chengalpattu,2017,204.7
Chengalpattu,2018,223.6
Chengalpattu,2019,186.2
Chengalpattu,2020,206.1
Chengalpattu,2021,204.8
Chengalpattu,2022,201.0
Chengalpattu,2023,204.7
Chennai,2003,146.7
Chennai,2004,154.5
Chennai,2005,159.3
Chennai,2006,166.0
Chennai,2007,158.9
Chennai,2008,181.4
Chennai,2009,164.0
Chennai,2010,183.2
Chennai,2011,170.7
Chennai,2012,185.6
Chennai,2013,179.5
Chennai,2014,182.8
Chennai,2015,174.1
Chennai,2016,211.3
Chennai,2017,211.2
Chennai,2018,197.6
Chennai,2019,198.8
Chennai,2020,201.9
Chennai,2021,199.9
Chennai,2022,189.6
Chennai,2023,223.4
Coimbatore,2003,192.1
Coimbatore,2004,185.8
Coimbatore,2005,207.0
Coimbatore,2006,214.4
Coimbatore,2007,211.0
Coimbatore,2008,204.4
Coimbatore,2009,206.2
Coimbatore,2010,200.1
Coimbatore,2011,247.6
Coimbatore,2012,214.1
Coimbatore,2013,201.2
Coimbatore,2014,215.9
Coimbatore,2015,215.1
Coimbatore,2016,200.1
Coimbatore,2017,195.8
Coimbatore,2018,220.1
Coimbatore,2019,226.5
Coimbatore,2020,230.7
Coimbatore,2021,246.9
Coimbatore,2022,226.9
Coimbatore,2023,256.0
Cuddalore,2003,126.3
Cuddalore,2004,151.9
Cuddalore,2005,163.6
Cuddalore,2006,184.6
Cuddalore,2007,168.2
Cuddalore,2008,191.8
Cuddalore,2009,156.7
Cuddalore,2010,180.0
Cuddalore,2011,182.3
Cuddalore,2012,176.0
Cuddalore,2013,198.4
Cuddalore,2014,171.7
Cuddalore,2015,172.4
Cuddalore,2016,181.3
Cuddalore,2017,182.0
Cuddalore,2018,198.4
Cuddalore,2019,219.9
Cuddalore,2020,193.0
Cuddalore,2021,189.5
Cuddalore,2022,221.0
Cuddalore,2023,188.8
Dharmapuri,2003,133.7
Dharmapuri,2004,154.9
Dharmapuri,2005,178.9
Dharmapuri,2006,189.8
Dharmapuri,2007,148.8
Dharmapuri,2008,149.1
Dharmapuri,2009,169.5
Dharmapuri,2010,185.5
Dharmapuri,2011,152.5
Dharmapuri,2012,171.9
Dharmapuri,2013,177.7
Dharmapuri,2014,177.8
Dharmapuri,2015,194.3
Dharmapuri,2016,175.6
Dharmapuri,2017,216.7
Dharmapuri,2018,186.2
Dharmapuri,2019,191.6
Dharmapuri,2020,202.2
Dharmapuri,2021,226.7
Dharmapuri,2022,223.0
Dharmapuri,2023,202.7
Dindigul,2003,122.3
Dindigul,2004,148.5
Dindigul,2005,127.7
Dindigul,2006,136.4
Dindigul,2007,137.7
Dindigul,2008,141.5
Dindigul,2009,146.1
Dindigul,2010,168.4
Dindigul,2011,170.0
Dindigul,2012,167.5
Dindigul,2013,143.9
Dindigul,2014,179.9
Dindigul,2015,163.8
Dindigul,2016,182.6
Dindigul,2017,161.0
Dindigul,2018,173.8
Dindigul,2019,186.7
Dindigul,2020,157.7
Dindigul,2021,172.2
Dindigul,2022,179.8
Dindigul,2023,179.0
Erode,2003,177.0
Erode,2004,206.1
Erode,2005,222.8
Erode,2006,201.2
Erode,2007,225.9
Erode,2008,193.9
Erode,2009,218.6
Erode,2010,206.4
Erode,2011,193.2
Erode,2012,243.8
Erode,2013,211.5
Erode,2014,209.8
Erode,2015,213.7
Erode,2016,223.3
Erode,2017,238.3
Erode,2018,217.4
Erode,2019,194.4
Erode,2020,234.8
Erode,2021,229.8
Erode,2022,235.7
Erode,2023,231.6
Kallakurichi,2003,163.5
Kallakurichi,2004,139.4
Kallakurichi,2005,172.8
Kallakurichi,2006,172.5
Kallakurichi,2007,162.8
Kallakurichi,2008,162.6
Kallakurichi,2009,152.6
Kallakurichi,2010,165.9
Kallakurichi,2011,159.6
Kallakurichi,2012,183.8
Kallakurichi,2013,152.6
Kallakurichi,2014,192.0
Kallakurichi,2015,194.6
Kallakurichi,2016,191.6
Kallakurichi,2017,197.6
Kallakurichi,2018,174.7
Kallakurichi,2019,166.0
Kallakurichi,2020,178.0
Kallakurichi,2021,221.2
Kallakurichi,2022,203.3
Kallakurichi,2023,202.2
Kancheepuram,2003,172.9
Kancheepuram,2004,164.3
Kancheepuram,2005,147.4
Kancheepuram,2006,145.2
Kancheepuram,2007,169.2
Kancheepuram,2008,180.2
Kancheepuram,2009,161.7
Kancheepuram,2010,195.1
Kancheepuram,2011,169.4
Kancheepuram,2012,184.3
Kancheepuram,2013,205.3
Kancheepuram,2014,191.2
Kancheepuram,2015,195.4
Kancheepuram,2016,184.1
Kancheepuram,2017,204.0
Kancheepuram,2018,210.7
Kancheepuram,2019,189.1
Kancheepuram,2020,209.2
