district,year,season,ndvi
Ariyalur,2003,Kharif,0.5795
Ariyalur,2003,Rabi,0.4803
Ariyalur,2003,Zaid,0.4497
Ariyalur,2004,Kharif,0.5839
Ariyalur,2004,Rabi,0.4685
Ariyalur,2004,Zaid,0.4077
Ariyalur,2005,Kharif,0.5766
Ariyalur,2005,Rabi,0.4755
Ariyalur,2005,Zaid,0.4512
Ariyalur,2006,Kharif,0.5568
Ariyalur,2006,Rabi,0.4742
Ariyalur,2006,Zaid,0.3892
Ariyalur,2007,Kharif,0.4816
Ariyalur,2007,Rabi,0.5652
Ariyalur,2007,Zaid,0.562
Ariyalur,2008,Kharif,0.4482
Ariyalur,2008,Rabi,0.5154
Ariyalur,2008,Zaid,0.4912
Ariyalur,2009,Kharif,0.498
Ariyalur,2009,Rabi,0.4905
Ariyalur,2009,Zaid,0.4841
Ariyalur,2010,Kharif,0.6212
Ariyalur,2010,Rabi,0.4799
Ariyalur,2010,Zaid,0.451
Ariyalur,2011,Kharif,0.5182
Ariyalur,2011,Rabi,0.5578
Ariyalur,2011,Zaid,0.5379
Ariyalur,2012,Kharif,0.5026
Ariyalur,2012,Rabi,0.5391
Ariyalur,2012,Zaid,0.4801
Ariyalur,2013,Kharif,0.4943
Ariyalur,2013,Rabi,0.5584
Ariyalur,2013,Zaid,0.4128
Ariyalur,2014,Kharif,0.5159
Ariyalur,2014,Rabi,0.4959
Ariyalur,2014,Zaid,0.4384
Ariyalur,2015,Kharif,0.4851
Ariyalur,2015,Rabi,0.5264
Ariyalur,2015,Zaid,0.524
Ariyalur,2016,Kharif,0.4978
Ariyalur,2016,Rabi,0.4352
Ariyalur,2016,Zaid,0.4404
Ariyalur,2017,Kharif,0.4688
Ariyalur,2017,Rabi,0.4998
Ariyalur,2017,Zaid,0.4271
Ariyalur,2018,Kharif,0.5776
Ariyalur,2018,Rabi,0.4495
Ariyalur,2018,Zaid,0.4142
Ariyalur,2019,Kharif,0.5113
Ariyalur,2019,Rabi,0.4214
Ariyalur,2019,Zaid,0.3595
Ariyalur,2020,Kharif,0.5423
Ariyalur,2020,Rabi,0.5338
Ariyalur,2020,Zaid,0.4851
Ariyalur,2021,Kharif,0.5059
Ariyalur,2021,Rabi,0.515
Ariyalur,2021,Zaid,0.3963
