district,year,soil_N,soil_P,soil_K,soil_pH
Ariyalur,2003,200.3,16.6,177.1,6.8
Ariyalur,2004,262.3,16.1,164.2,7.11
Ariyalur,2005,240.7,22.8,213.6,7.35
Ariyalur,2006,271.6,17.2,170.4,6.81
Ariyalur,2007,258.6,16.3,197.8,7.15
Ariyalur,2008,250.4,23.7,217.8,7.08
Ariyalur,2009,204.2,24.3,218.2,7.02
Ariyalur,2010,249.3,22.8,176.7,7.49
Ariyalur,2011,204.1,14.9,199.9,7.33
Ariyalur,2012,224.5,15.3,214.0,7.19
Ariyalur,2013,196.5,16.0,170.7,7.37
Ariyalur,2014,258.4,16.8,202.1,7.42
Ariyalur,2015,258.7,20.0,184.4,7.47
Ariyalur,2016,267.6,14.7,156.4,7.53
Ariyalur,2017,195.1,24.0,214.0,7.3
Ariyalur,2018,231.2,25.4,217.9,6.82
Ariyalur,2019,206.7,18.9,181.3,7.48
Ariyalur,2020,204.6,16.3,181.8,7.09
Ariyalur,2021,224.5,15.1,201.5,7.42
Ariyalur,2022,255.3,21.2,183.1,7.43
Ariyalur,2023,239.3,20.7,202.6,6.95
Chengalpattu,2003,239.5,18.4,224.0,7.38
Chengalpattu,2004,254.1,26.3,215.4,7.04
Chengalpattu,2005,231.2,20.1,182.7,7.31
Chengalpattu,2006,223.4,27.1,218.7,7.06
Chengalpattu,2007,251.4,17.2,162.9,6.88
Chengalpattu,2008,212.0,22.0,193.5,7.45
Chengalpattu,2009,262.8,23.4,198.2,7.35
Chengalpattu,2010,196.9,20.2,207.4,6.94
Chengalpattu,2011,239.7,15.1,189.1,7.52
Chengalpattu,2012,257.1,23.5,214.1,6.87
Chengalpattu,2013,248.6,22.9,188.2,7.06
Chengalpattu,2014,240.4,14.5,190.7,7.07
Chengalpattu,2015,214.8,15.8,214.9,7.18
Chengalpattu,2016,223.4,25.6,161.4,7.32
Chengalpattu,2017,218.8,21.3,189.9,7.47
Chengalpattu,2018,197.3,18.7,176.0,7.38
Chengalpattu,2019,223.1,15.0,184.3,7.06
Chengalpattu,2020,246.8,26.0,155.6,7.29
Chengalpattu,2021,191.6,23.2,214.3,6.84
Chengalpattu,2022,235.8,19.6,166.7,7.1
Chengalpattu,2023,204.0,16.8,205.0,7.08
Chennai,2003,224.0,16.0,226.0,7.42
Chennai,2004,220.9,21.4,163.4,7.43
Chennai,2005,266.2,17.9,226.5,7.45
Chennai,2006,261.0,19.6,205.3,7.23
Chennai,2007,219.3,26.9,209.2,7.24
Chennai,2008,209.3,26.1,184.3,7.25
Chennai,2009,209.5,21.2,185.6,6.9
Chennai,2010,253.4,20.3,214.8,7.04
Chennai,2011,225.1,26.9,165.9,7.16
Chennai,2012,237.6,27.1,182.3,7.19
Chennai,2013,225.7,19.3,179.3,7.2
Chennai,2014,245.1,18.1,208.4,7.4
Chennai,2015,268.9,19.9,175.4,7.13
Chennai,2016,223.5,17.9,201.2,7.14
Chennai,2017,204.7,15.7,207.2,7.16
Chennai,2018,235.5,22.5,200.1,7.12
Chennai,2019,227.2,17.8,166.6,7.44
Chennai,2020,209.8,26.0,182.0,6.81
Chennai,2021,256.5,25.3,195.0,7.25
Chennai,2022,262.8,24.1,166.4,7.34
Chennai,2023,243.8,25.3,199.0,7.24
Coimbatore,2003,335.0,35.0,267.7,6.05
Coimbatore,2004,313.9,30.8,279.2,6.04
Coimbatore,2005,279.1,31.8,230.8,5.86
Coimbatore,2006,297.0,24.4,265.0,5.83
Coimbatore,2007,273.0,37.3,275.6,6.05
Coimbatore,2008,320.2,22.1,237.8,5.91
Coimbatore,2009,330.2,35.7,251.7,6.44
Coimbatore,2010,332.9,29.5,238.4,6.72
Coimbatore,2011,305.8,33.5,244.0,6.14
Coimbatore,2012,328.9,22.9,272.1,6.27
Coimbatore,2013,256.7,27.2,220.1,6.22
Coimbatore,2014,307.6,28.8,220.3,6.28
Coimbatore,2015,293.0,31.3,263.6,6.5
Coimbatore,2016,336.3,29.4,219.1,6.34
Coimbatore,2017,308.3,34.1,223.3,6.8
Coimbatore,2018,258.0,21.4,221.7,6.67
Coimbatore,2019,294.4,34.5,203.6,5.81
Coimbatore,2020,319.0,27.1,222.3,6.22
Coimbatore,2021,247.5,33.8,247.2,6.47
Coimbatore,2022,305.8,29.8,218.5,6.45
Coimbatore,2023,307.5,33.5,242.4,6.1
Cuddalore,2003,237.6,22.1,167.2,6.99
Cuddalore,2004,203.7,15.8,168.6,7.34
Cuddalore,2005,224.2,22.5,180.1,7.23
Cuddalore,2006,262.3,20.3,176.3,7.55
Cuddalore,2007,229.3,16.4,202.1,7.03
Cuddalore,2008,275.6,17.7,164.1,7.1
Cuddalore,2009,215.5,20.4,162.7,7.13
Cuddalore,2010,211.3,15.5,169.7,7.38
Cuddalore,2011,219.2,24.0,180.7,7.44
Cuddalore,2012,246.4,25.4,212.9,7.34
Cuddalore,2013,227.1,17.6,201.5,7.16
Cuddalore,2014,267.7,19.6,200.6,7.41
Cuddalore,2015,237.2,16.6,207.2,6.98
Cuddalore,2016,252.2,25.3,208.5,6.99
Cuddalore,2017,254.4,17.7,164.6,7.18
Cuddalore,2018,263.8,16.2,208.7,6.95
Cuddalore,2019,245.4,25.5,156.7,6.81
Cuddalore,2020,260.2,25.9,154.9,7.26
Cuddalore,2021,221.8,21.8,214.0,7.22
Cuddalore,2022,239.4,18.4,167.4,6.82
Cuddalore,2023,241.6,19.4,213.0,7.17
Dharmapuri,2003,273.2,18.6,204.5,7.57
Dharmapuri,2004,206.3,17.4,179.8,7.5
Dharmapuri,2005,231.4,17.4,167.5,6.87
Dharmapuri,2006,244.0,22.1,207.0,6.98
Dharmapuri,2007,227.6,15.5,174.2,7.12
Dharmapuri,2008,206.4,21.7,170.7,7.48
Dharmapuri,2009,222.5,24.8,221.6,7.57
Dharmapuri,2010,256.7,18.6,205.5,7.27
Dharmapuri,2011,267.6,15.6,158.5,7.58
Dharmapuri,2012,248.2,19.2,221.9,7.24
Dharmapuri,2013,257.2,21.1,215.3,7.08
Dharmapuri,2014,248.6,19.1,210.4,6.83
Dharmapuri,2015,228.8,19.3,182.8,7.1
Dharmapuri,2016,209.2,23.9,217.2,7.3
Dharmapuri,2017,239.1,21.5,209.3,7.47
Dharmapuri,2018,231.2,16.1,161.2,7.17
Dharmapuri,2019,242.4,17.2,211.3,7.19
Dharmapuri,2020,194.5,24.7,195.4,7.26
Dharmapuri,2021,227.6,23.1,178.9,7.33
Dharmapuri,2022,195.9,15.1,155.7,7.18
Dharmapuri,2023,208.4,20.6,183.4,7.29
Dindigul,2003,209.2,13.1,180.6,7.4
Dindigul,2004,180.5,16.8,180.3,7.11
Dindigul,2005,215.9,16.6,180.3,7.43
Dindigul,2006,182.2,13.6,181.6,7.92
Dindigul,2007,234.3,20.4,159.3,7.37
Dindigul,2008,205.9,16.0,188.2,7.97
Dindigul,2009,221.4,16.0,138.9,7.75
Dindigul,2010,227.2,14.2,173.5,7.74
Dindigul,2011,188.2,18.9,158.1,7.93
Dindigul,2012,199.7,20.7,158.6,7.05
Dindigul,2013,223.6,14.7,183.8,7.62
Dindigul,2014,210.2,16.2,140.3,7.51
Dindigul,2015,186.0,15.1,187.1,7.16
Dindigul,2016,179.1,12.9,175.2,7.85
Dindigul,2017,237.5,15.1,143.5,7.76
Dindigul,2018,237.2,11.8,155.4,7.51
Dindigul,2019,207.3,12.0,152.1,7.91
Dindigul,2020,232.8,16.1,137.9,7.74
Dindigul,2021,208.9,13.4,163.2,7.28
Dindigul,2022,172.7,11.9,138.5,7.76
Dindigul,2023,184.9,15.2,152.5,7.3
Erode,2003,330.0,23.3,262.2,6.03
Erode,2004,268.1,23.4,281.8,6.03
Erode,2005,299.4,26.4,240.1,6.49
Erode,2006,300.0,27.2,248.9,6.26
Erode,2007,262.0,24.7,230.3,6.38
Erode,2008,307.8,23.1,246.7,6.21
Erode,2009,267.6,21.8,217.8,6.65
Erode,2010,327.2,30.6,277.0,6.74
Erode,2011,322.6,25.5,226.8,6.29
Erode,2012,311.4,21.6,232.8,6.01
Erode,2013,328.0,26.3,253.3,5.89
Erode,2014,331.9,26.6,221.9,6.4
Erode,2015,310.1,23.0,266.1,6.18
Erode,2016,265.1,24.2,220.6,6.8
Erode,2017,251.9,23.6,255.4,6.05
Erode,2018,305.6,21.6,251.1,6.03
Erode,2019,250.8,23.3,201.1,6.08
Erode,2020,330.4,28.1,213.9,5.97
Erode,2021,251.9,31.6,265.7,6.29
Erode,2022,261.4,22.2,200.4,6.5
Erode,2023,281.2,31.1,265.2,6.53
Kallakurichi,2003,263.0,27.8,213.7,6.89
Kallakurichi,2004,224.2,23.3,168.0,7.51
Kallakurichi,2005,238.9,15.1,166.0,6.88
Kallakurichi,2006,265.5,21.1,219.4,7.48
Kallakurichi,2007,204.1,24.5,168.2,7.15
Kallakurichi,2008,201.9,17.0,219.4,6.89
Kallakurichi,2009,221.1,17.9,176.0,7.31
Kallakurichi,2010,221.8,21.2,216.3,7.3
Kallakurichi,2011,219.0,21.9,213.5,7.25
Kallakurichi,2012,218.4,26.4,195.1,7.13
