district,year,rainfall_mm,temp_avg_c
Ariyalur,2003,932.4,28.77
Ariyalur,2004,965.5,30.44
Ariyalur,2005,929.6,28.98
Ariyalur,2006,629.2,29.55
Ariyalur,2007,880.2,28.93
Ariyalur,2008,1227.5,29.49
Ariyalur,2009,862.6,29.21
Ariyalur,2010,1137.3,29.52
Ariyalur,2011,807.0,29.96
Ariyalur,2012,973.9,29.19
Ariyalur,2013,1075.3,29.74
Ariyalur,2014,763.0,29.25
Ariyalur,2015,814.8,29.37
Ariyalur,2016,960.2,29.12
Ariyalur,2017,1101.9,30.15
Ariyalur,2018,949.1,29.65
Ariyalur,2019,826.9,29.51
Ariyalur,2020,1168.0,29.61
Ariyalur,2021,957.4,28.99
Ariyalur,2022,1034.8,29.22
Ariyalur,2023,679.0,29.35
Chengalpattu,2003,1037.4,30.3
Chengalpattu,2004,1074.4,28.81
Chengalpattu,2005,803.3,29.26
Chengalpattu,2006,836.4,29.43
Chengalpattu,2007,700.6,29.31
Chengalpattu,2008,1104.0,29.4
Chengalpattu,2009,1117.5,28.68
Chengalpattu,2010,891.1,29.34
Chengalpattu,2011,460.7,30.3
Chengalpattu,2012,694.7,29.55
Chengalpattu,2013,1119.1,29.36
Chengalpattu,2014,769.6,29.12
Chengalpattu,2015,815.3,29.99
Chengalpattu,2016,710.6,29.15
Chengalpattu,2017,900.2,29.19
Chengalpattu,2018,869.3,29.51
Chengalpattu,2019,806.5,29.96
Chengalpattu,2020,942.8,30.21
Chengalpattu,2021,772.6,29.5
Chengalpattu,2022,1088.0,29.67
Chengalpattu,2023,934.9,29.24
Chennai,2003,1128.3,29.2
Chennai,2004,824.4,28.87
Chennai,2005,916.3,29.56
Chennai,2006,568.2,30.07
Chennai,2007,1082.5,29.93
Chennai,2008,976.5,29.04
Chennai,2009,849.9,30.04
Chennai,2010,658.6,29.44
Chennai,2011,684.9,29.91
Chennai,2012,765.4,29.21
Chennai,2013,1053.2,29.18
Chennai,2014,854.7,29.09
Chennai,2015,655.0,28.93
Chennai,2016,735.6,29.7
Chennai,2017,977.3,29.5
Chennai,2018,783.9,30.11
Chennai,2019,823.6,30.25
Chennai,2020,1051.5,29.53
Chennai,2021,929.4,29.94
Chennai,2022,845.7,29.2
Chennai,2023,893.4,29.77
Coimbatore,2003,1826.4,25.65
Coimbatore,2004,1811.6,25.45
Coimbatore,2005,1906.2,25.9
Coimbatore,2006,961.5,26.58
Coimbatore,2007,1485.3,25.96
Coimbatore,2008,1514.9,25.89
Coimbatore,2009,1292.1,26.09
Coimbatore,2010,1426.6,25.85
Coimbatore,2011,1114.3,26.1
Coimbatore,2012,880.4,25.88
Coimbatore,2013,1777.9,25.47
Coimbatore,2014,1487.4,26.33
Coimbatore,2015,1145.8,26.24
Coimbatore,2016,1340.0,25.55
Coimbatore,2017,1579.6,26.8
Coimbatore,2018,1320.3,26.46
Coimbatore,2019,877.2,25.63
Coimbatore,2020,1700.2,26.3
Coimbatore,2021,1614.1,26.52
Coimbatore,2022,983.3,26.2
Coimbatore,2023,1176.1,25.54
Cuddalore,2003,1168.8,28.68
Cuddalore,2004,1394.6,29.0
Cuddalore,2005,1521.0,29.21
Cuddalore,2006,963.9,30.19
Cuddalore,2007,1497.4,29.16
Cuddalore,2008,1528.9,29.75
Cuddalore,2009,1570.5,29.54
Cuddalore,2010,1365.9,29.65
Cuddalore,2011,1010.2,29.64
Cuddalore,2012,1347.6,29.84
Cuddalore,2013,1371.5,29.97
Cuddalore,2014,1040.0,29.78
Cuddalore,2015,1571.1,29.24
Cuddalore,2016,1594.4,29.29
Cuddalore,2017,1590.7,30.08
Cuddalore,2018,1040.0,29.7
Cuddalore,2019,833.4,29.15
Cuddalore,2020,1904.7,29.72
Cuddalore,2021,1366.7,29.06
Cuddalore,2022,1511.6,29.86
Cuddalore,2023,1233.5,29.82
Dharmapuri,2003,423.0,29.09
Dharmapuri,2004,604.8,28.9
Dharmapuri,2005,639.0,29.01
Dharmapuri,2006,430.0,29.82
Dharmapuri,2007,708.9,29.49
Dharmapuri,2008,744.4,30.02
Dharmapuri,2009,888.5,29.45
Dharmapuri,2010,459.0,30.14
Dharmapuri,2011,476.9,29.21
Dharmapuri,2012,608.3,29.43
Dharmapuri,2013,668.5,29.31
Dharmapuri,2014,483.4,29.4
Dharmapuri,2015,587.3,29.02
Dharmapuri,2016,771.8,29.22
Dharmapuri,2017,818.9,29.64
Dharmapuri,2018,630.2,29.82
Dharmapuri,2019,466.8,29.65
Dharmapuri,2020,839.8,30.3
Dharmapuri,2021,593.3,29.75
Dharmapuri,2022,872.7,29.86
Dharmapuri,2023,416.2,29.51
Dindigul,2003,1003.9,29.85
Dindigul,2004,984.5,29.92
Dindigul,2005,1193.7,30.4
Dindigul,2006,820.0,29.39
Dindigul,2007,1061.4,29.23
Dindigul,2008,985.3,29.79
Dindigul,2009,826.8,29.67
Dindigul,2010,844.2,31.01
Dindigul,2011,666.5,29.43
Dindigul,2012,848.1,29.89
Dindigul,2013,770.4,30.03
Dindigul,2014,741.2,30.34
Dindigul,2015,802.2,30.28
Dindigul,2016,690.6,30.19
Dindigul,2017,869.4,30.02
Dindigul,2018,1017.5,30.09
Dindigul,2019,1214.9,29.93
Dindigul,2020,900.7,29.96
Dindigul,2021,721.0,30.02
Dindigul,2022,937.9,30.04
Dindigul,2023,950.5,29.89
Erode,2003,1112.8,25.71
Erode,2004,918.4,26.09
Erode,2005,1070.1,25.72
Erode,2006,845.2,25.79
Erode,2007,703.1,25.5
Erode,2008,947.9,26.04
Erode,2009,966.7,26.33
Erode,2010,1059.7,25.45
Erode,2011,1209.9,25.02
Erode,2012,966.9,26.51
Erode,2013,1040.4,25.94
Erode,2014,973.9,26.47
Erode,2015,929.7,26.35
Erode,2016,1026.3,25.64
Erode,2017,992.5,26.68
Erode,2018,892.5,26.23
Erode,2019,1211.5,26.08
Erode,2020,689.3,26.49
Erode,2021,851.4,25.54
Erode,2022,895.8,26.26
Erode,2023,796.7,26.08
Kallakurichi,2003,800.9,29.3
Kallakurichi,2004,972.0,29.17
Kallakurichi,2005,981.0,29.66
Kallakurichi,2006,1129.3,28.91
Kallakurichi,2007,630.0,29.84
Kallakurichi,2008,905.5,29.26
Kallakurichi,2009,854.3,29.9
Kallakurichi,2010,984.2,29.21
Kallakurichi,2011,1060.5,29.5
Kallakurichi,2012,917.4,28.87
Kallakurichi,2013,849.9,30.03
Kallakurichi,2014,895.3,29.76
Kallakurichi,2015,905.3,29.09
Kallakurichi,2016,1211.2,30.07
Kallakurichi,2017,1072.4,29.39
Kallakurichi,2018,872.4,29.84
Kallakurichi,2019,1118.7,29.51
Kallakurichi,2020,939.6,29.93
Kallakurichi,2021,964.5,29.36
Kallakurichi,2022,1103.1,29.65
Kallakurichi,2023,726.2,29.2
Kancheepuram,2003,634.5,29.32
Kancheepuram,2004,959.3,29.74
Kancheepuram,2005,1200.2,29.73
Kancheepuram,2006,846.1,28.92
Kancheepuram,2007,1119.7,29.29
Kancheepuram,2008,848.6,29.16
Kancheepuram,2009,906.6,29.75
Kancheepuram,2010,705.7,29.27
Kancheepuram,2011,724.4,29.21
Kancheepuram,2012,954.2,30.16
Kancheepuram,2013,1180.9,29.19
Kancheepuram,2014,642.2,29.44
Kancheepuram,2015,544.2,29.34
Kancheepuram,2016,1019.5,30.07
Kancheepuram,2017,886.5,29.32
Kancheepuram,2018,1034.2,28.67
Kancheepuram,2019,746.6,29.79
Kancheepuram,2020,845.3,29.63
Kancheepuram,2021,798.5,29.8
Kancheepuram,2022,883.4,30.01
Kancheepuram,2023,785.4,30.03
Kanyakumari,2003,974.1,29.88
Kanyakumari,2004,1279.5,29.79
Kanyakumari,2005,1721.1,29.93
Kanyakumari,2006,1489.3,29.91
Kanyakumari,2007,1135.6,30.58
Kanyakumari,2008,1211.1,29.64
Kanyakumari,2009,1284.3,29.3
Kanyakumari,2010,1009.7,29.64
Kanyakumari,2011,1277.3,29.95
Kanyakumari,2012,1582.4,29.57
Kanyakumari,2013,1692.7,29.99
Kanyakumari,2014,1166.0,29.93
Kanyakumari,2015,1426.2,30.08
Kanyakumari,2016,1393.7,30.28
Kanyakumari,2017,1531.9,29.85
Kanyakumari,2018,1239.2,30.01
Kanyakumari,2019,969.9,29.33
Kanyakumari,2020,1552.8,29.62
Kanyakumari,2021,1419.9,29.8
Kanyakumari,2022,1522.1,29.77
Kanyakumari,2023,1414.6,30.23
Karur,2003,853.9,30.31
Karur,2004,950.9,30.3
Karur,2005,836.4,30.94
Karur,2006,707.2,30.5
Karur,2007,668.6,30.88
Karur,2008,1044.4,31.09
Karur,2009,625.9,30.98
Karur,2010,690.8,30.65
Karur,2011,704.6,30.8
Karur,2012,1141.8,30.29
Karur,2013,1140.3,30.44
Karur,2014,821.2,30.93
Karur,2015,801.8,30.46
Karur,2016,809.3,30.47
Karur,2017,1282.0,29.96
Karur,2018,534.6,30.85
Karur,2019,859.5,30.73
Karur,2020,1201.0,30.4
Karur,2021,1257.2,30.79
Karur,2022,1059.9,30.74
Karur,2023,628.3,29.57
Krishnagiri,2003,680.7,29.36
Krishnagiri,2004,830.3,29.52
Krishnagiri,2005,641.7,30.01
Krishnagiri,2006,516.2,29.85
Krishnagiri,2007,739.4,28.61
Krishnagiri,2008,644.7,29.36
Krishnagiri,2009,766.0,28.9
Krishnagiri,2010,694.7,29.15
Krishnagiri,2011,561.4,29.41
Krishnagiri,2012,599.3,30.33
Krishnagiri,2013,699.6,30.23
Krishnagiri,2014,503.6,29.32
Krishnagiri,2015,575.6,29.52
Krishnagiri,2016,687.5,29.95
Krishnagiri,2017,640.8,29.77
Krishnagiri,2018,524.2,29.93
Krishnagiri,2019,522.9,29.73
Krishnagiri,2020,734.0,30.12
Krishnagiri,2021,577.2,30.38
Krishnagiri,2022,719.1,29.5
Krishnagiri,2023,685.5,29.86
Madurai,2003,561.2,30.55
Madurai,2004,552.4,29.92
Madurai,2005,729.1,30.38
Madurai,2006,309.4,30.65
Madurai,2007,536.9,30.25
Madurai,2008,783.8,30.22
Madurai,2009,697.6,30.66
Madurai,2010,273.1,29.9
Madurai,2011,489.9,30.31
Madurai,2012,609.9,29.73
Madurai,2013,538.0,29.97
Madurai,2014,799.0,30.2
Madurai,2015,486.0,29.81
Madurai,2016,741.5,30.39
Madurai,2017,550.1,29.49
Madurai,2018,669.5,30.04
Madurai,2019,558.8,29.88
Madurai,2020,792.7,30.72
Madurai,2021,721.3,30.82
Madurai,2022,600.1,29.71
Madurai,2023,648.7,29.66
Mayiladuthurai,2003,1284.8,29.13
Mayiladuthurai,2004,1334.0,28.66
Mayiladuthurai,2005,1451.9,28.82
